device_id,run_id,interval_started_at,interval_ended_at,interval_seconds,partial,search_workers,pages_per_keyword,result_wait,stable_checks,stable_interval,page_delay,page_load_strategy,images_blocked,pages_read,avg_page_seconds,median_page_seconds,p95_page_seconds,min_page_seconds,max_page_seconds,page_unique_sum,new_on_page_sum,queries_finished,confirmed_new,pages_per_hour,confirmed_per_hour
鯊鯊,6,2026-09-20T16:13:29+10:00,2026-09-20T16:15:06+10:00,96.828,yes,6,0,30.0,3,5.0,5.0,eager,yes,18,22.805,19.320,32.131,17.167,32.131,480,480,0,0,669.23,0.00
鯊鯊,7,2026-09-20T16:16:22+10:00,2026-09-20T16:20:24+10:00,241.531,yes,15,0,30.0,3,5.0,5.0,eager,yes,92,30.622,31.701,35.054,15.789,37.439,479,479,35,369,1371.25,5499.92
鯊鯊,8,2026-09-20T16:21:07+10:00,2026-09-20T16:22:27+10:00,80.047,yes,10,0,30.0,3,5.0,5.0,eager,yes,13,34.226,34.220,37.760,31.457,37.760,0,0,3,0,584.66,0.00
鯊鯊,9,2026-09-20T16:23:15+10:00,2026-09-20T16:33:04+10:00,588.657,yes,6,0,30.0,3,5.0,5.0,eager,yes,114,24.880,21.923,31.793,16.729,32.442,2255,2255,5,641,697.18,3920.11
鯊鯊,10,2026-09-20T16:34:15+10:00,2026-09-20T16:47:30+10:00,795.375,yes,8,0,30.0,3,5.0,5.0,eager,yes,201,26.132,31.085,32.298,17.040,35.107,3342,3342,24,1068,909.76,4833.95
SYD-PC01,11,2026-09-20T16:55:38+10:00,2026-09-20T16:58:12+10:00,154.375,yes,8,0,30.0,2,5.0,5.0,eager,yes,40,24.393,31.111,34.395,9.949,35.010,630,630,8,108,932.79,2518.54
SYD-PC01,12,2026-09-20T16:59:47+10:00,2026-09-20T17:07:47+10:00,480.297,yes,6,0,30.0,2,5.0,5.0,eager,yes,103,21.916,16.045,32.155,11.987,32.419,2160,2160,7,1169,772.02,8762.08
SYD-PC01,13,2026-09-20T17:11:14+10:00,2026-09-20T18:11:24+10:00,3609.625,no,6,0,30.0,2,5.0,5.0,eager,yes,759,22.609,30.860,32.092,11.434,35.471,14190,14190,58,10632,756.98,10603.65
SYD-PC01,13,2026-09-20T18:11:24+10:00,2026-09-20T19:11:26+10:00,3602.563,no,6,0,30.0,2,5.0,5.0,eager,yes,485,17.278,12.510,31.823,11.816,33.095,14414,14414,0,0,484.65,0.00
SYD-PC01,13,2026-09-20T19:11:26+10:00,2026-09-20T19:39:12+10:00,1665.141,yes,6,0,30.0,2,5.0,5.0,eager,yes,193,16.451,12.446,31.534,11.848,32.071,6074,6072,3,20872,417.26,45124.83
SYD-PC01,14,2026-09-21T01:33:28+10:00,2026-09-21T01:53:01+10:00,1173.437,yes,6,0,30.0,2,5.0,5.0,eager,yes,247,22.855,30.948,32.304,11.247,32.641,4714,4714,21,3471,757.77,10648.72
SYD-PC01,15,2026-09-21T01:54:49+10:00,2026-09-21T02:54:51+10:00,3602.140,no,6,0,30.0,2,5.0,5.0,eager,yes,777,22.729,30.868,32.196,11.793,33.085,14476,14476,70,10086,776.54,10080.01
SYD-PC01,15,2026-09-21T02:54:51+10:00,2026-09-21T03:54:57+10:00,3605.297,no,6,0,30.0,2,5.0,5.0,eager,yes,777,22.974,30.926,32.343,11.154,33.358,14227,14227,61,12079,775.86,12061.25
SYD-PC01,15,2026-09-21T03:54:57+10:00,2026-09-21T04:54:58+10:00,3601.235,no,6,0,30.0,2,5.0,5.0,eager,yes,773,23.066,31.003,32.359,11.390,33.928,13972,13972,64,11473,772.73,11469.07
SYD-PC01,15,2026-09-21T04:54:58+10:00,2026-09-21T05:55:00+10:00,3601.812,no,6,0,30.0,2,5.0,5.0,eager,yes,771,23.040,31.039,32.414,11.566,33.069,14146,14146,58,11315,770.61,11309.31
SYD-PC01,15,2026-09-21T05:55:00+10:00,2026-09-21T06:55:00+10:00,3600.000,no,6,0,30.0,2,5.0,5.0,eager,yes,772,23.097,31.053,32.435,11.622,33.145,14053,14052,59,10742,772.00,10742.00
SYD-PC01,15,2026-09-21T06:55:00+10:00,2026-09-21T07:55:00+10:00,3600.281,no,6,0,30.0,2,5.0,5.0,eager,yes,774,22.884,31.037,32.327,11.870,33.418,14313,14313,62,10164,773.94,10163.21
SYD-PC01,15,2026-09-21T07:55:00+10:00,2026-09-21T08:55:01+10:00,3601.672,no,6,0,30.0,2,5.0,5.0,eager,yes,777,22.959,31.009,32.181,11.727,34.672,14205,14205,57,11652,776.64,11646.59
SYD-PC01,15,2026-09-21T08:55:01+10:00,2026-09-21T09:55:13+10:00,3611.485,no,6,0,30.0,2,5.0,5.0,eager,yes,719,25.217,31.105,32.144,11.296,33.073,9365,9365,144,8075,716.71,8049.32
SYD-PC01,15,2026-09-21T09:55:13+10:00,2026-09-21T10:55:14+10:00,3600.875,no,6,0,30.0,2,5.0,5.0,eager,yes,768,23.293,30.933,31.891,11.449,33.060,12994,12994,86,8140,767.81,8138.02
SYD-PC01,15,2026-09-21T10:55:14+10:00,2026-09-21T11:55:15+10:00,3601.281,no,6,0,30.0,2,5.0,5.0,eager,yes,682,21.464,13.319,31.799,11.854,32.501,14222,14221,47,6625,681.76,6622.64
SYD-PC01,15,2026-09-21T11:55:15+10:00,2026-09-21T12:55:24+10:00,3609.375,no,6,0,30.0,2,5.0,5.0,eager,yes,389,16.259,12.461,31.437,11.877,33.247,12369,12369,2,9999,387.99,9973.03
SYD-PC01,15,2026-09-21T12:55:24+10:00,2026-09-21T12:58:58+10:00,214.266,yes,6,0,30.0,2,5.0,5.0,eager,yes,10,16.173,12.681,31.071,11.982,31.071,320,320,1,7098,168.02,119257.37
