device_id,run_id,started_at,ended_at,status,search_target,search_workers,pages_per_keyword,result_wait,stable_checks,stable_interval,page_delay,search_page_load_strategy,search_images,metrics_interval_hours,metrics_output,download_batch,download_workers,heartbeat_interval,confirmed_new,live_new,queries_finished,pages_timed,avg_page_read_seconds,median_page_read_seconds,p95_page_read_seconds,min_page_read_seconds,max_page_read_seconds,download_selected,downloaded_this_run,failed_this_run,download_success_rate_pct,download_success_per_hour,search_elapsed_seconds,download_elapsed_seconds,total_elapsed_seconds,final_downloaded,final_failed,final_queued,db,output_dir,page_log
鯊鯊,6,2026-09-20 16:13:29 +1000,2026-09-20 16:15:06 +1000,interrupted by user,200,6,0,30.0,3,5.0,5.0,eager,off,1.0,scribd_metrics.csv,30000,10,120.0,0,414,0,18,22.805,19.320,32.131,17.167,32.131,0,0,0,0.00,0.00,97.210,0.000,97.629,22094,1008,50954,C:\Users\wagor\Desktop\RMB\scribd-downloader\scribd_state.db,E:\RMB\scribd,
鯊鯊,7,2026-09-20 16:16:22 +1000,2026-09-20 16:20:25 +1000,interrupted by user,4000,15,0,30.0,3,5.0,5.0,eager,off,1.0,scribd_metrics.csv,30000,10,120.0,369,369,35,92,30.622,31.701,35.054,15.789,37.439,0,0,0,0.00,0.00,241.957,0.000,242.431,22094,1008,51323,C:\Users\wagor\Desktop\RMB\scribd-downloader\scribd_state.db,E:\RMB\scribd,
鯊鯊,8,2026-09-20 16:21:07 +1000,2026-09-20 16:22:28 +1000,interrupted by user,4000,10,0,30.0,3,5.0,5.0,eager,off,1.0,scribd_metrics.csv,30000,10,120.0,0,0,3,13,34.226,34.220,37.760,31.457,37.760,0,0,0,0.00,0.00,80.459,0.000,80.944,22094,1008,51323,C:\Users\wagor\Desktop\RMB\scribd-downloader\scribd_state.db,E:\RMB\scribd,
鯊鯊,9,2026-09-20 16:23:15 +1000,2026-09-20 16:33:05 +1000,interrupted by user,4000,6,0,30.0,3,5.0,5.0,eager,off,1.0,scribd_metrics.csv,30000,10,120.0,641,2007,5,114,24.880,21.923,31.793,16.729,32.442,0,0,0,0.00,0.00,589.079,0.000,589.520,22094,1008,51964,C:\Users\wagor\Desktop\RMB\scribd-downloader\scribd_state.db,E:\RMB\scribd,
鯊鯊,10,2026-09-20 16:34:15 +1000,2026-09-20 16:47:31 +1000,interrupted by user,4000,8,0,30.0,3,5.0,5.0,eager,off,1.0,scribd_metrics.csv,30000,10,120.0,1068,2922,24,201,26.132,31.085,32.298,17.040,35.107,0,0,0,0.00,0.00,795.814,0.000,796.282,22094,1008,53032,C:\Users\wagor\Desktop\RMB\scribd-downloader\scribd_state.db,E:\RMB\scribd,
SYD-PC01,11,2026-09-20 16:55:38 +1000,2026-09-20 16:58:13 +1000,interrupted by user,10000,8,0,30.0,2,5.0,5.0,eager,off,1.0,.\scribd_metrics.csv,0,1,120.0,108,460,8,40,24.393,31.111,34.395,9.949,35.010,0,0,0,0.00,0.00,154.813,0.000,155.324,22094,1008,53140,C:\Users\wagor\Desktop\RMB\scribd-downloader\scribd_state.db,E:\RMB\scribd,
SYD-PC01,12,2026-09-20 16:59:47 +1000,2026-09-20 17:07:48 +1000,interrupted by user,10000,6,0,30.0,2,5.0,5.0,eager,off,1.0,.\scribd_metrics.csv,0,1,120.0,1169,1827,7,103,21.916,16.045,32.155,11.987,32.419,0,0,0,0.00,0.00,480.757,0.000,481.273,22094,1008,54309,C:\Users\wagor\Desktop\RMB\scribd-downloader\scribd_state.db,E:\RMB\scribd,
SYD-PC01,13,2026-09-20 17:11:14 +1000,2026-09-20 23:22:30 +1000,completed,10000,6,0,30.0,2,5.0,5.0,eager,off,1.0,.\scribd_metrics.csv,10000,10,120.0,31504,31504,61,1437,19.983,13.051,32.021,11.434,35.471,10000,9746,254,97.46,2618.92,8877.966,13396.961,22276.364,31840,1262,75813,C:\Users\wagor\Desktop\RMB\scribd-downloader\scribd_state.db,E:\RMB\scribd,
SYD-PC01,14,2026-09-21 01:33:28 +1000,2026-09-21 01:53:03 +1000,interrupted by user,10000,6,0,30.0,2,5.0,5.0,eager,off,1.0,.\scribd_metrics.csv,50000,10,120.0,3471,3792,21,247,22.855,30.948,32.304,11.247,32.641,0,0,0,0.00,0.00,1174.112,0.000,1174.917,31840,1262,78284,C:\Users\wagor\Desktop\RMB\scribd-downloader\scribd_state.db,E:\RMB\scribd,
SYD-PC01,15,2026-09-21 01:54:49 +1000,2026-09-21 23:39:20 +1000,interrupted by user,100000,6,0,30.0,2,5.0,5.0,eager,off,1.0,.\scribd_metrics.csv,100000,10,120.0,117448,117448,711,7989,22.735,30.916,32.237,11.154,34.672,100000,23893,705,97.13,2237.83,39851.736,38436.720,78292.803,55733,1967,171134,C:\Users\wagor\Desktop\RMB\scribd-downloader\scribd_state.db,E:\RMB\scribd,
